ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
10395,Mount Greenwood,Single Family,48146,4305,12036.5,1113.5,1076.25,Middle2
10396,Mount Greenwood,Single Family,132655,16712,9475.36,1202.54,1285.54,Middle2
10397,Mount Greenwood,Single Family,78426,11816,7842.6,1299.1,1181.6,Middle2
10400,Mount Greenwood,Single Family,34094,5944,8523.5,905.2,1188.8,Middle2
10405,Mount Greenwood,Single Family,140711,15433,10050.79,1093.21,1102.36,Middle2
10407,Mount Greenwood,Single Family,86842,12627,7894.73,1130.5,1052.25,Middle2
10421,Mount Greenwood,Single Family,141272,14070,10867.08,1043.38,1082.31,Middle2
10426,Mount Greenwood,Single Family,95838,12055,8712.55,962.55,1095.91,Middle2
10428,Mount Greenwood,Single Family,105495,15927,8791.25,1073.69,1225.15,Middle1
10448,Mount Greenwood,Single Family,111250,2400,55625,912.5,1200,Middle3
10482,Mount Greenwood,Single Family,154864,19001,9679,1056.6,1266.73,Middle2
10484,Mount Greenwood,Single Family,64749,6648,10791.5,1170.5,1108,Middle1
10486,Mount Greenwood,Commercial,16128,3895,8064,1220.67,1298.33,Middle2
10488,Mount Greenwood,Single Family,39645,5992,7929,1015.4,1198.4,Middle2
10489,Mount Greenwood,Commercial,23802,3690,11901,1063.33,1230,Middle3
10503,Mount Greenwood,Single Family,186468,19246,10968.71,1136.24,1132.12,Middle2
10516,Mount Greenwood,Single Family,116511,16367,9709.25,1284.25,1363.92,Middle2
10518,Mount Greenwood,Single Family,129478,15824,9248.43,1249,1130.29,Middle2
10519,Mount Greenwood,Single Family,123833,11111,12383.3,1146.9,1111.1,Middle2
10521,Mount Greenwood,Single Family,112860,11228,11286,1157.9,1122.8,Middle2
10536,Mount Greenwood,Single Family,124160,11877,11287.27,1257.91,1079.73,Middle2
10550,Mount Greenwood,Single Family,131862,17578,7756.59,1016.53,1034,Middle2
10558,Mount Greenwood,Single Family,190357,17094,12690.47,1284,1139.6,Middle2
10560,Mount Greenwood,Single Family,142037,17434,10925.92,1030,1162.27,Middle2
10562,Mount Greenwood,Single Family,109912,12521,12212.44,1141.73,1138.27,Middle2
10567,Mount Greenwood,Single Family,158084,18793,9880.25,1211.25,1174.56,Middle2
10569,Mount Greenwood,Single Family,65202,9131,8150.25,1080.38,1141.38,Middle2
10572,Mount Greenwood,Single Family,127509,14774,8500.6,1120.71,1055.29,Middle2
10577,Mount Greenwood,Single Family,36573,7298,6095.5,1067.83,1216.33,Middle2
10579,Mount Greenwood,Single Family,112816,16453,8678.15,1290.92,1265.62,Middle2
10582,Mount Greenwood,Single Family,137300,16895,9153.33,1232.38,1055.94,Middle2
10597,Mount Greenwood,Single Family,63609,8257,7951.13,993.29,1179.57,Middle2
10598,Mount Greenwood,Single Family,110536,9945,11053.6,1344.33,1105,Middle2
10599,Mount Greenwood,Single Family,108712,18436,6794.5,1179.19,1152.25,Middle2
10600,Mount Greenwood,Single Family,50759,6623,8459.83,1028.5,1103.83,Middle1
10613,Near West Side,Single Family,102240,7037,14605.71,1349.71,1005.29,Ancient
10614,Near West Side,Multi < 7,19910,2457,9955,1145,1228.5,Newer
10625,Near West Side,Single Family,35781,2191,17890.5,2381,1095.5,Newer
10630,Near West Side,Single Family,16602,2876,5534,1088,958.67,Ancient
10637,Near West Side,Single Family,54992,7335,9165.33,1405.17,1222.5,Ancient
10644,New City,Single Family,65595,6752,13119,1123.67,1125.33,Middle2
10647,New City,Single Family,89252,2369,44626,1840,1184.5,Middle2
10649,New City,Single Family,56144,6257,8020.57,1016,1251.4,Newer
10667,New City,Single Family,59665,14566,7458.13,1486.55,1324.18,Ancient
10680,New City,Single Family,73769,10370,8196.56,1270.78,1152.22,Ancient
10686,New City,Single Family,138484,16677,9891.71,1301.93,1111.8,Middle3
10693,New City,Single Family,50410,7585,8401.67,1021.71,1083.57,Ancient
10697,New City,Single Family,57799,9809,9633.17,1212.11,1089.89,Middle3
10702,New City,Single Family,19308,5070,6436,1263.25,1267.5,Ancient
10705,New City,Single Family,49480,5664,8246.67,1430.4,1132.8,Middle3
10706,New City,Single Family,24092,5538,8030.67,1176.5,1384.5,Middle3
10711,New City,Single Family,63001,7803,9000.14,1256,1114.71,Middle2
10716,New City,Single Family,29857,4416,9952.33,1287,1104,Ancient
10717,New City,Single Family,60397,8653,7549.63,1324.14,1236.14,Ancient
10720,New City,Single Family,40605,8439,6767.5,1316.29,1205.57,Ancient
10725,New City,Single Family,51630,5061,8605,1715.4,1012.2,Ancient
10726,New City,Single Family,32728,6178,6545.6,1289,1235.6,Ancient
